timestep,cloud_id,cloud_cpu_available,cloud_memory_available,cloud_queue_length,cloud_latency_current,is_in_maintenance,is_overloaded,had_cold_start
1,1,27362.84,132.9314,3,84.83,0,0,0
1,2,927.69,308.5196,102,108.82,0,1,0
1,3,53900.52,224.9828,11,41.04,0,0,0
1,4,22257.12,358.1353,6,56.71,0,0,0
1,5,59394.73,416.6243,1,56.56,0,0,0
1,6,58324.1,157.6055,1,49.38,0,0,0
1,7,58040.41,297.0822,1,101.52,0,0,0
1,8,21767.34,366.1076,6,29.94,0,0,0
1,9,37505.2,225.265,0,60.64,0,0,0
1,10,25644.4,233.4676,2,27.84,0,0,0
2,1,27166.14,132.3235,3,86.59,0,0,0
2,2,26312.56,323.8091,69,47.09,0,0,0
2,3,53444.2,223.7528,11,60.85,0,0,0
2,4,22331.9,359.237,0,59.74,0,0,0
2,5,58821.04,413.9681,2,59.9,0,0,0
2,6,57360.64,155.8151,5,53.31,0,0,0
2,7,57381.93,294.8241,3,97.66,0,0,0
2,8,21780.43,366.5024,2,48.06,0,0,0
2,9,36935.48,222.9225,4,51.0,0,0,0
2,10,25364.2,231.7652,4,28.38,0,0,0
3,1,29853.85,140.6737,1,76.39,0,0,0
3,2,30875.51,359.7658,41,60.21,0,0,0
3,3,59469.11,240.0023,3,61.2,0,0,0
3,4,24435.24,380.7271,0,64.15,0,0,0
3,5,63700.62,435.3268,8,63.03,0,0,0
3,6,63349.25,166.2472,1,45.54,0,0,0
3,7,62459.36,311.2055,6,92.02,0,0,0
3,8,23787.47,387.8531,3,26.04,0,0,0
3,9,40303.31,235.7308,6,47.28,0,0,0
3,10,27943.92,246.8511,0,32.56,0,0,0
4,1,28043.6,135.0316,3,93.49,0,0,0
4,2,30501.86,358.5638,16,58.6,0,0,0
4,3,56300.62,231.7086,1,46.99,0,0,0
4,4,22672.05,362.1654,9,51.73,0,0,0
4,5,60860.05,423.1566,1,51.38,0,0,0
4,6,59760.17,160.0719,1,49.27,0,0,0
4,7,59552.85,302.0401,0,104.81,0,0,0
4,8,22328.23,372.1145,6,26.3,0,0,0
4,9,38386.57,228.608,1,50.49,0,0,0
4,10,26174.42,236.4475,4,29.93,0,0,0
5,1,29746.86,140.3359,2,78.33,0,0,0
5,2,33169.09,379.4671,2,47.72,0,0,0
5,3,59063.22,238.8455,5,47.27,0,0,0
5,4,24290.4,379.1448,2,58.04,0,0,0
5,5,64257.82,438.2873,2,62.45,0,0,0
5,6,63197.2,165.995,0,61.74,0,0,0
5,7,61108.72,306.272,16,87.86,0,0,0
5,8,23440.53,383.7357,10,37.94,0,0,0
5,9,40437.9,236.3841,3,47.99,0,0,0
5,10,27832.7,246.1848,1,33.9,0,0,0
6,1,27698.58,133.8983,6,89.16,0,0,0
6,2,31251.71,365.1926,0,41.72,0,0,0
6,3,55238.46,228.6471,8,62.96,0,0,0
6,4,22893.1,364.9641,0,51.87,0,0,0
6,5,60524.59,421.7047,1,61.22,0,0,0
6,6,58938.56,158.5565,4,51.72,0,0,0
6,7,59086.64,300.4902,1,83.2,0,0,0
6,8,21838.34,366.3751,14,41.95,0,0,0
6,9,38048.19,227.2701,2,62.2,0,0,0
6,10,25362.78,231.228,16,30.99,0,0,0
7,1,27686.89,133.9108,4,89.49,0,0,0
7,2,30484.06,358.7792,11,51.44,0,0,0
7,3,55653.7,229.9907,1,47.93,0,0,0
7,4,22694.78,362.7977,3,66.29,0,0,0
7,5,59854.9,418.4612,4,52.86,0,0,0
7,6,59154.04,159.0428,0,41.36,0,0,0
7,7,58426.82,298.157,4,104.53,0,0,0
7,8,22186.72,370.7667,3,39.44,0,0,0
7,9,37582.21,225.3272,6,42.18,0,0,0
7,10,25834.93,234.4422,5,27.08,0,0,0
8,1,27044.81,132.0168,0,86.19,0,0,0
8,2,30071.01,356.2463,2,61.67,0,0,0
8,3,54092.04,225.9125,0,47.37,0,0,0
8,4,21683.43,352.0054,10,54.1,0,0,0
8,5,57780.92,409.0473,6,48.1,0,0,0
