edge_id,tier,edge_cpu_capacity,edge_memory_capacity,edge_bandwidth_capacity,edge_energy_capacity,is_renewable_powered,location_zone
1,standard,5030.6,13.32,553.4,8022.4,0,urban
2,standard,5699.5,30.14,503.7,7078.9,0,urban
3,standard,5661.5,18.51,352.4,1897.7,1,urban
4,micro,2311.9,7.91,147.5,3533.7,1,urban
5,standard,4898.4,24.33,270.2,7287.2,0,suburban
6,micro,1175.5,2.02,122.9,2304.4,1,rural
7,standard,8562.6,39.59,522.1,4337.1,0,urban
8,powerful,16592.6,47.17,741.6,5991.7,1,suburban
9,standard,6516.0,25.84,696.0,6085.8,0,urban
10,standard,10058.4,28.83,410.4,5135.0,0,suburban
11,powerful,19542.1,90.96,659.7,5039.7,0,suburban
12,powerful,18565.1,55.61,2296.8,3360.7,1,suburban
13,standard,11014.4,12.31,383.0,5258.5,1,urban
14,standard,7450.3,11.75,205.6,5983.5,0,urban
15,standard,7967.9,31.64,505.9,7756.9,1,urban
16,standard,10415.5,23.12,360.2,2956.8,0,urban
17,powerful,18503.6,113.98,917.3,2540.8,0,suburban
18,standard,10895.3,31.68,639.2,3662.7,1,urban
19,powerful,18685.1,108.29,1683.4,7960.2,0,suburban
20,standard,9079.3,26.3,242.6,8340.1,1,suburban
21,standard,8725.1,15.48,271.3,5286.9,0,urban
22,standard,4368.4,26.49,426.5,4433.7,0,suburban
23,powerful,17160.7,96.61,1111.7,2505.3,0,rural
24,standard,9229.3,27.65,320.2,8305.1,0,urban
25,standard,10693.7,33.33,448.6,2609.9,0,suburban
26,standard,9789.9,39.38,244.6,4070.2,0,suburban
27,standard,7033.1,37.61,509.1,3356.1,0,suburban
28,powerful,29124.4,117.88,1998.8,3027.7,0,urban
29,micro,2188.9,2.47,210.5,6665.5,0,urban
30,powerful,20874.4,132.54,765.4,4093.4,1,suburban
31,micro,2485.6,2.13,146.6,3776.7,1,rural
32,micro,3005.9,9.84,56.1,4213.1,0,suburban
33,standard,6764.9,21.31,663.7,6217.7,1,suburban
34,powerful,17757.0,74.79,732.0,5601.0,1,urban
35,micro,2421.8,4.92,57.0,6634.9,0,suburban
36,standard,11283.9,11.02,202.5,3974.7,1,industrial
37,micro,1552.8,6.28,174.4,3100.3,0,urban
38,standard,4990.0,36.84,289.4,6279.0,0,urban
39,standard,8657.5,23.66,521.3,4883.2,0,suburban
40,micro,3335.9,9.3,93.1,1635.6,1,industrial
41,micro,1953.4,9.86,203.2,3214.2,0,urban
42,micro,1153.4,3.29,132.5,2481.5,0,urban
43,micro,2774.0,2.96,183.4,7067.3,1,suburban
44,standard,7004.5,33.26,298.5,1201.7,0,urban
45,standard,4662.1,27.66,337.7,4796.6,0,suburban
46,micro,2090.0,3.43,212.1,7397.2,0,urban
47,standard,5915.4,21.39,285.6,7851.6,0,suburban
48,standard,8862.7,11.09,328.2,8478.9,1,rural
49,micro,1666.5,3.62,176.2,6545.6,0,rural
50,standard,9738.7,13.33,596.7,3556.6,1,suburban
