timestep,edge_id,edge_cpu_available,edge_memory_available,edge_queue_length,edge_latency_current,edge_energy_level,is_failed,is_degrading,is_isolated
1,1,532.59,0.527,3,20.1,6896.0,0,0,0
1,2,648.94,18.7454,0,18.97,4384.05,0,0,0
1,3,4376.28,14.7372,3,7.95,1836.41,0,0,0
1,4,58.6,6.0713,3,21.61,2401.01,0,0,0
1,5,1224.69,17.5659,1,19.35,4554.8,0,1,0
1,6,18.97,0.0692,7,22.92,1600.42,0,0,0
1,7,6635.12,31.5618,2,7.68,3469.96,0,0,0
1,8,1850.25,33.6307,1,19.3,5436.08,0,0,0
1,9,4093.52,18.8958,2,11.77,5822.44,0,1,0
1,10,6149.32,21.0556,2,12.13,2894.3,0,1,0
1,11,2113.47,43.2141,2,19.78,3174.6,0,0,0
1,12,2105.56,25.5958,0,19.03,3092.47,0,0,0
1,13,8567.94,9.8316,0,7.13,3248.41,0,0,0
1,14,4557.83,8.5279,5,13.28,4613.7,0,1,0
1,15,891.46,1.3556,1,19.25,6351.33,0,0,0
1,16,5621.71,18.3215,1,11.46,2794.48,0,0,0
1,17,14374.18,91.1638,0,7.04,1410.47,0,0,0
1,18,1298.12,22.8029,2,22.53,2710.67,0,1,0
1,19,14540.52,86.525,1,7.22,7820.72,0,0,0
1,20,7031.22,20.96,2,7.75,4827.0,0,0,0
1,21,5497.52,11.3356,1,11.47,4083.93,0,1,0
1,22,3288.44,21.056,3,8.53,3125.91,0,0,0
1,23,13298.57,77.2681,0,7.05,2285.93,0,0,0
1,24,6941.3,21.9043,5,9.08,5336.99,0,0,0
1,25,6476.91,26.465,2,10.82,2405.18,0,0,0
1,26,1110.0,23.8615,0,19.04,3634.54,0,0,0
1,27,3044.83,29.7689,2,13.69,3163.46,0,0,0
1,28,22533.27,93.8983,2,7.85,2986.04,0,0,0
1,29,1047.59,1.9097,2,13.18,5403.8,0,0,0
1,30,16247.78,105.9134,1,7.19,3133.85,0,0,0
1,31,1738.7,1.7034,0,8.47,3728.58,0,0,0
1,32,68.79,4.842,4,21.96,2872.22,0,0,0
1,33,677.27,16.3756,5,20.91,4628.71,0,0,0
1,34,13845.91,59.8215,0,7.0,4130.31,0,0,0
1,35,50.29,3.4334,5,22.26,5020.46,0,0,0
1,36,8430.83,8.6958,4,8.72,3700.41,0,0,0
1,37,15.53,4.2269,7,26.58,2043.57,0,1,0
1,38,3167.08,29.3441,1,9.8,3455.33,0,0,0
1,39,6631.99,18.7913,4,8.34,2791.65,0,0,0
1,40,72.22,3.8298,5,22.14,1541.46,0,0,0
1,41,1218.84,7.716,12,13.5,2995.97,0,0,0
1,42,15.8,2.4905,8,23.26,1698.93,0,0,0
1,43,1582.9,2.3038,4,11.98,3952.43,0,0,0
1,44,1400.64,26.319,1,17.8,873.79,0,0,0
1,45,3562.29,22.0231,2,8.03,3764.28,0,0,0
1,46,1130.25,2.676,8,13.95,6139.98,0,0,0
1,47,4488.62,17.026,2,8.11,6540.92,0,0,0
1,48,6903.69,8.8657,0,7.11,5704.81,0,0,0
1,49,21.27,2.7088,8,23.4,6366.52,0,0,0
1,50,7143.26,10.5992,1,8.24,3026.17,0,0,0
2,1,3905.38,10.6293,1,7.48,6895.25,0,0,0
2,2,643.96,5.9215,0,19.09,4351.83,0,0,0
2,3,4407.92,14.7936,1,7.16,1850.81,0,0,0
2,4,23.12,5.4066,11,24.21,2384.94,0,0,0
2,5,1765.35,17.7075,2,17.27,4539.6,0,1,0
2,6,11.76,0.0606,10,23.99,1589.94,0,0,0
2,7,966.37,17.2108,0,19.11,3437.74,0,0,0
2,8,12867.49,37.6201,2,7.6,5441.08,0,0,0
2,9,4065.34,18.976,0,11.25,5819.21,0,1,0
2,10,100.58,17.2406,0,23.93,2864.19,0,1,0
2,11,15049.09,72.5994,1,7.52,3171.5,0,0,0
2,12,14346.53,44.3363,2,7.67,3094.73,0,0,0
2,13,1221.96,1.4932,1,19.38,3237.21,0,0,0
2,14,99.56,8.2623,3,25.01,4585.47,0,1,0
2,15,890.07,16.4347,1,19.27,6337.6,0,0,0
2,16,4674.56,18.1,3,13.98,2779.35,0,0,0
2,17,1870.59,89.9502,5,20.78,1382.29,0,0,0
2,18,6921.7,23.2799,0,11.0,2733.76,0,1,0
2,19,2092.08,74.9154,1,19.24,7792.7,0,0,0
2,20,7052.85,20.9942,1,7.41,4834.5,0,0,0
2,21,5101.96,11.2899,2,12.77,4077.24,0,1,0
2,22,3258.55,21.1434,1,7.91,3121.88,0,0,0
2,23,1881.25,42.5528,2,19.57,2253.67,0,0,0
2,24,1028.48,21.2562,1,19.31,5306.85,0,0,0
2,25,8275.21,26.552,2,7.83,2404.39,0,0,0
2,26,1051.79,23.2071,3,19.88,3909.64,0,0,0
2,27,766.57,28.7537,2,19.66,3133.29,0,0,0
2,28,22609.54,94.0667,1,7.48,2985.29,0,0,0
2,29,1430.85,1.9421,4,10.49,5397.39,0,0,0
2,30,16256.73,105.9444,0,7.13,3137.37,0,0,0
2,31,1702.0,1.6863,6,10.56,3733.9,0,0,0
2,32,2095.14,7.8559,1,8.82,2871.48,0,0,0
2,33,5167.34,17.0238,0,7.36,4637.03,0,0,0
2,34,13773.85,59.656,2,7.57,4141.54,0,0,0
2,35,1684.73,3.9243,2,9.02,5019.7,0,0,0
2,36,1272.96,0.4777,0,19.12,3687.61,0,0,0
2,37,823.85,4.5387,8,15.92,2040.3,0,1,0
2,38,3883.79,29.4381,1,7.2,3454.61,0,0,0
2,39,961.43,15.459,1,19.37,2763.61,0,0,0
2,40,33.36,0.2859,9,23.82,1529.83,0,0,0
2,41,1239.24,7.6926,13,13.86,2991.53,0,0,0
2,42,11.53,0.075,15,25.63,1664.1,0,0,0
2,43,1691.75,2.2997,9,12.93,3961.04,0,0,0
2,44,2008.24,26.06,1,16.24,852.4,0,0,0
2,45,3580.29,22.0271,2,7.93,3761.17,0,0,0
2,46,1342.73,2.6875,10,12.56,6135.62,0,0,0
2,47,4597.5,17.0794,1,7.36,6540.19,0,0,0
2,48,6802.16,8.8304,2,7.84,5708.31,0,0,0
2,49,1151.29,2.8779,4,9.7,6365.7,0,0,0
2,50,7572.57,10.6464,1,7.3,3043.99,0,0,0
3,1,812.14,10.1883,3,19.01,6869.22,0,0,0
3,2,4404.39,23.9931,3,7.98,4351.03,0,0,0
3,3,4345.02,14.7862,0,7.34,1853.69,0,0,0
3,4,1575.75,6.2485,7,11.01,2391.52,0,0,0
3,5,2741.2,17.8008,1,12.68,4531.75,0,1,0
3,6,796.9,1.5917,9,11.53,1595.41,0,0,0
3,7,6441.07,31.521,2,8.01,3429.8,0,0,0
3,8,1684.45,34.9776,5,20.72,5428.79,0,0,0
3,9,4152.64,19.0097,0,11.05,5818.49,0,1,0
3,10,6261.47,20.9768,6,13.44,2863.27,0,1,0
3,11,14819.71,71.6937,8,10.03,3170.5,0,0,0
3,12,10022.53,43.7731,3,12.14,3089.92,0,0,0
3,13,8586.07,9.8449,0,7.03,3245.82,0,0,0
3,14,2484.61,8.4604,1,17.56,4571.2,0,1,0
3,15,6152.87,25.1775,3,8.06,6350.37,0,0,0
3,16,8093.62,18.4591,1,7.37,2778.61,0,0,0
3,17,13968.99,90.5675,4,8.53,1378.76,0,0,0
3,18,4684.63,23.095,1,15.49,2739.83,0,1,0
3,19,2028.21,77.493,2,19.72,7762.52,0,0,0
3,20,7045.36,20.9823,2,7.53,4838.36,0,0,0
3,21,87.25,3.4633,6,26.05,4049.02,0,1,0
3,22,3385.12,21.1185,2,7.68,3121.11,0,0,0
3,23,1934.27,76.8816,0,19.13,2223.55,0,0,0
3,24,7118.79,21.9892,3,8.19,5306.04,0,0,0
3,25,8337.7,26.6582,0,7.0,2403.69,0,0,0
3,26,7624.01,31.4774,0,7.14,3908.93,0,0,0
3,27,3930.89,29.7938,1,11.38,3118.01,0,0,0
3,28,22705.97,94.2796,0,7.01,2984.59,0,0,0
3,29,1503.9,1.9523,4,9.95,5394.36,0,0,0
3,30,16174.18,105.7098,2,7.59,3147.85,0,0,0
3,31,1721.34,1.6953,3,9.46,3755.33,0,0,0
3,32,2098.84,7.8626,1,8.65,2870.76,0,0,0
