timestep,uplink_bandwidth,downlink_bandwidth,network_delay_ms,packet_loss_rate,channel_utilization,load_factor,snr_db,is_outage,is_congestion,is_jitter_storm
1,250.471,455.986,25.172,0.03493,0.4074,1.0113,24.54,0,0,0
2,275.017,415.012,8.58,0.00402,0.3089,1.0226,23.32,0,0,0
3,268.354,492.362,7.793,0.00491,0.3591,1.0339,23.99,0,0,0
4,279.27,494.587,19.958,0.0249,0.3594,1.0452,26.4,0,0,0
5,231.537,411.382,33.42,0.09817,0.3934,1.0564,26.56,0,0,0
6,276.601,534.926,15.936,0.00905,0.375,1.0676,26.57,0,0,0
7,277.629,425.313,19.732,0.00117,0.5154,1.0788,26.44,0,0,0
8,256.897,347.439,29.177,0.05516,0.4183,1.0899,26.0,0,0,0
9,214.704,403.383,50.402,0.15981,0.4317,1.1009,24.87,0,0,0
10,230.187,385.473,28.363,0.03653,0.4476,1.1119,25.15,0,0,0
11,243.499,359.984,20.888,0.00704,0.3851,1.1228,24.36,0,0,0
12,242.679,366.144,34.794,0.09728,0.3808,1.1337,26.11,0,0,0
13,268.271,450.076,29.046,0.00031,0.4907,1.1444,26.07,0,0,0
14,232.045,300.354,20.194,0.04601,0.4799,1.1551,26.05,0,0,0
15,264.07,337.154,22.781,0.00375,0.478,1.1657,26.8,0,0,0
16,245.903,435.145,24.224,0.00481,0.5107,1.1761,25.69,0,0,0
17,207.154,417.809,34.15,0.08194,0.5454,1.1865,24.62,0,0,0
18,210.013,322.952,29.446,0.10999,0.4356,1.1967,23.98,0,0,0
19,180.431,288.788,51.323,0.22351,0.5412,1.2068,25.97,0,0,0
20,238.828,364.87,31.987,0.07493,0.5415,1.2168,26.24,0,0,0
21,261.655,411.489,16.134,0.02476,0.4479,1.2266,27.33,0,0,0
22,274.877,470.099,24.367,0.0211,0.4542,1.2363,26.62,0,0,0
23,175.082,293.377,37.282,0.13303,0.5603,1.2459,24.1,0,0,0
24,253.112,409.634,17.152,0.00208,0.4853,1.2553,25.24,0,0,0
25,230.346,286.146,33.498,0.03159,0.5798,1.2645,25.63,0,0,0
26,247.921,452.552,25.775,0.01395,0.5486,1.2736,26.05,0,0,0
27,221.277,367.539,31.501,0.00575,0.5527,1.2825,24.47,0,0,0
28,214.55,380.814,30.118,0.00085,0.6153,1.2912,24.54,0,0,0
29,224.731,373.183,33.628,0.04442,0.5994,1.2997,27.02,0,0,0
30,223.905,369.799,35.549,0.11462,0.5497,1.308,26.77,0,0,0
31,185.129,272.452,61.131,0.20312,0.6499,1.3162,25.97,0,0,0
32,233.374,441.76,30.567,0.09152,0.5224,1.3241,28.03,0,0,0
33,232.763,296.487,32.946,0.00052,0.5471,1.3319,26.44,0,0,0
34,219.518,292.044,43.803,0.1092,0.5536,1.3394,25.92,0,0,0
35,211.642,340.633,30.227,0.00394,0.5875,1.3467,24.99,0,0,0
36,201.558,298.227,28.348,0.00513,0.6435,1.3538,24.26,0,0,0
37,216.211,335.986,26.907,0.02594,0.6035,1.3607,25.6,0,0,0
38,201.93,287.327,37.561,0.08621,0.5665,1.3674,24.44,0,0,0
39,179.182,285.741,35.72,0.02823,0.691,1.3738,24.01,0,0,0
40,243.126,359.411,24.392,0.01861,0.5467,1.3799,27.31,0,0,0
41,243.506,379.68,45.897,0.14448,0.5164,1.3859,28.91,0,0,0
42,248.544,315.842,43.421,0.09107,0.5829,1.3916,30.68,0,0,0
43,277.562,413.75,21.033,0.01603,0.5706,1.4195,29.57,0,0,0
44,223.197,416.839,41.655,0.09972,0.5637,1.4022,27.91,0,0,0
45,255.815,423.182,19.675,0.01204,0.561,1.4072,28.61,0,0,0
46,246.02,440.3,40.686,0.03813,0.5962,1.4119,29.48,0,0,0
47,252.556,454.882,25.556,0.00921,0.6216,1.4338,29.99,0,0,0
48,269.057,439.133,23.765,0.01641,0.6127,1.4204,30.95,0,0,0
49,263.279,354.791,36.869,0.01064,0.6586,1.4343,31.33,0,0,0
50,296.445,413.157,27.33,0.00024,0.5085,1.428,30.3,0,0,0
51,227.205,378.231,33.459,0.04308,0.7274,1.4313,31.19,0,0,0
52,233.913,332.12,28.995,0.00443,0.6477,1.4444,27.9,0,0,0
53,164.428,252.095,63.275,0.27786,0.6527,1.4372,26.24,0,0,0
54,226.01,409.768,27.823,0.00284,0.592,1.4398,25.54,0,0,0
55,223.556,375.521,32.146,0.00081,0.6525,1.442,23.96,0,0,0
56,197.717,351.44,56.59,0.21692,0.5322,1.444,24.86,0,0,0
57,183.244,333.386,26.225,0.00154,0.6713,1.4457,23.36,0,0,0
58,215.738,336.378,28.295,0.01391,0.5145,1.4471,24.82,0,0,0
59,224.185,419.313,29.931,0.05807,0.569,1.4483,25.81,0,0,0
60,229.317,298.622,28.98,0.00025,0.6301,1.4491,26.66,0,0,0
61,202.302,310.781,40.054,0.07363,0.6092,1.4497,27.42,0,0,0
62,223.502,306.861,26.933,0.00359,0.6629,1.47,26.96,0,0,0
63,203.17,264.422,32.146,0.07996,0.5886,1.4525,26.86,0,0,0
64,263.998,403.851,33.751,0.00044,0.5796,1.4497,28.62,0,0,0
65,272.022,352.784,31.384,0.05852,0.5122,1.4491,28.81,0,0,0
66,208.163,274.365,34.87,0.05813,0.5637,1.4483,25.27,0,0,0
67,166.641,216.23,36.302,0.01105,0.7519,1.4471,24.63,0,0,0
68,200.909,305.436,23.212,0.01602,0.6188,1.4682,23.44,0,0,0
69,197.486,364.014,37.85,0.07969,0.5713,1.4515,24.0,0,0,0
70,217.037,312.36,32.48,0.01249,0.6239,1.442,25.54,0,0,0
71,183.106,246.141,42.22,0.07312,0.6781,1.4598,25.1,0,0,0
72,187.459,261.489,27.105,0.03275,0.5943,1.4372,22.7,0,0,0
73,176.022,260.849,25.362,0.05308,0.6416,1.4344,21.71,0,0,0
74,200.449,281.424,29.599,0.01322,0.4992,1.4313,21.18,0,0,0
75,156.392,246.772,46.33,0.0921,0.643,1.438,20.01,0,0,0
