timestep,edge_id,edge_cpu_available,edge_memory_available,edge_queue_length,edge_latency_current,edge_energy_level,is_failed,is_degrading,is_isolated
1,1,5766.96,7.5623,1,6.75,946.81,0,0,0
1,2,823.2,2.307,4,15.13,335.68,0,0,0
1,3,3292.53,15.7868,6,6.25,1394.37,0,0,0
1,4,2058.72,17.8823,5,29.24,1329.53,0,0,0
1,5,2797.16,11.3563,4,10.33,4422.54,0,0,0
1,6,1162.87,2.3438,1,10.83,6494.43,0,0,0
1,7,2308.33,2.2651,5,11.83,1656.57,0,0,0
1,8,2757.96,8.1317,8,20.63,553.62,0,0,0
1,9,1321.49,2.24,6,34.14,535.95,0,0,0
1,10,565.62,3.706,1,30.58,511.97,0,0,0
1,11,4486.58,8.385,6,3.89,4453.5,0,0,0
1,12,5055.18,70.8099,2,21.49,4061.4,0,0,0
1,13,696.2,4.8143,6,34.5,925.03,0,0,0
1,14,2591.55,24.2946,3,6.92,7029.1,0,0,0
1,15,13874.15,59.1903,5,32.71,3083.15,0,0,0
1,16,3632.48,7.6382,6,34.46,1849.46,0,0,0
1,17,2870.56,4.8221,3,22.37,2337.69,0,0,0
1,18,1250.89,1.3174,3,29.81,3970.31,0,0,0
1,19,12041.69,46.7044,4,8.77,2773.23,0,0,0
1,20,3252.24,18.5498,2,8.13,1231.47,0,0,0
1,21,2285.37,15.6341,0,32.9,1786.25,0,1,0
1,22,314.35,4.1971,15,8.32,4723.06,0,0,0
1,23,2774.94,15.0588,4,7.83,6750.12,0,1,0
1,24,4095.19,3.7878,1,31.28,1222.47,0,0,0
1,25,1882.9,5.5091,5,11.29,6649.21,0,0,0
1,26,3783.61,11.9451,7,32.18,2414.07,0,0,0
1,27,1936.31,18.5613,5,23.47,1697.18,0,0,0
1,28,2949.52,11.4392,3,7.07,4415.14,0,0,0
1,29,2999.93,11.2917,2,4.93,2947.88,0,0,0
1,30,0.0,5.1352,37,21.37,358.35,0,0,0
1,31,11404.28,50.2285,3,27.66,574.8,0,0,0
1,32,4846.66,7.3199,3,13.14,3225.31,0,0,0
1,33,6779.06,21.0767,4,16.62,1755.15,0,0,0
1,34,2670.79,10.1068,1,7.59,5547.37,0,1,0
1,35,519.72,2.0007,2,8.18,1850.63,0,0,0
1,36,6937.67,6.1187,4,17.17,983.69,0,0,0
1,37,885.63,3.1756,3,18.54,2386.66,0,1,0
1,38,10014.78,29.5776,1,13.49,1014.86,0,0,0
1,39,1618.8,2.8136,1,15.71,2313.48,0,0,0
1,40,3798.33,8.5735,5,31.18,3756.97,0,0,0
1,41,2897.03,4.3129,0,20.75,1675.7,0,0,0
1,42,14097.55,51.093,5,34.89,1508.99,0,0,0
1,43,467.14,3.7564,2,13.79,1116.69,0,1,0
1,44,4659.61,75.7435,6,32.14,1194.52,0,0,0
1,45,5453.38,11.5863,3,9.12,874.55,0,0,0
1,46,6073.37,12.5991,6,23.89,4093.0,0,0,0
1,47,879.08,3.5838,4,13.08,4272.91,0,0,0
1,48,12969.28,26.7315,6,15.81,444.26,0,0,0
1,49,3178.04,3.6523,7,29.16,1419.27,0,0,0
1,50,1334.55,2.4484,7,32.5,732.57,0,0,0
2,1,2190.86,17.0672,7,16.6,903.34,0,0,0
2,2,844.53,2.873,5,19.06,330.28,0,0,0
2,3,2333.26,13.0753,5,21.26,1904.36,0,0,0
2,4,1766.61,11.4739,3,6.3,1430.0,0,0,0
2,5,5258.51,9.1922,4,30.41,5123.19,0,0,0
2,6,1273.71,1.7304,2,12.11,2558.14,0,0,0
2,7,1172.5,2.5974,5,10.34,2631.57,0,0,0
2,8,3190.93,8.9005,2,3.75,1245.93,0,0,0
2,9,2088.24,3.2311,3,33.54,669.44,0,0,0
2,10,975.94,2.2894,4,7.54,777.61,0,0,0
2,11,2972.34,8.067,0,26.4,6665.6,0,0,0
2,12,4304.01,60.5914,3,27.71,4359.14,0,0,0
2,13,816.85,5.1584,2,25.54,571.74,0,0,0
2,14,2665.87,20.4449,2,24.69,7029.1,0,0,0
2,15,18108.18,52.0935,3,33.37,7379.1,0,0,0
2,16,2223.7,9.6492,4,21.04,2034.73,0,0,0
2,17,2761.91,3.606,2,7.33,2829.51,0,0,0
2,18,1260.47,1.7864,5,25.94,3699.85,0,0,0
2,19,12273.04,49.6284,2,32.89,3419.4,0,0,0
2,20,4123.51,10.764,3,23.1,949.01,0,0,0
2,21,2841.49,22.265,2,8.72,1907.27,0,1,0
2,22,928.46,3.1707,4,13.02,6077.01,0,0,0
2,23,1207.59,17.6532,6,8.31,5219.15,0,1,0
2,24,4106.6,6.3674,6,34.95,2050.32,0,0,0
2,25,3451.59,5.4986,2,6.07,5260.61,0,0,0
2,26,4652.96,9.8296,5,8.37,3772.46,0,0,0
2,27,2275.94,13.3865,3,28.75,4922.23,0,0,0
2,28,3554.48,6.0411,5,34.5,2777.63,0,0,0
2,29,5190.28,11.0356,5,20.38,5303.38,0,0,0
2,30,1523.37,3.2701,2,23.75,716.55,0,0,0
2,31,10365.74,43.6456,5,6.47,820.67,0,0,0
2,32,2245.33,12.4053,5,29.86,5499.41,0,0,0
2,33,6593.83,38.0977,4,26.41,1258.23,0,0,0
2,34,2856.95,20.5908,7,4.26,4741.63,0,1,0
2,35,711.91,4.2661,4,32.11,2299.28,0,0,0
2,36,7019.77,9.7027,9,34.43,849.97,0,0,0
2,37,1235.54,3.0531,3,16.88,1906.23,0,1,0
2,38,13474.34,24.003,5,5.04,1166.61,0,0,0
2,39,270.56,3.5703,11,7.75,1641.82,0,0,0
2,40,3276.38,7.3286,9,34.6,4958.84,0,0,0
2,41,2971.67,7.9229,5,9.6,1087.25,0,0,0
2,42,16921.05,38.6325,6,6.84,1922.66,0,0,0
2,43,469.99,2.1392,2,28.24,859.39,0,1,0
2,44,8014.3,78.8061,5,3.39,2839.91,0,0,0
2,45,3819.78,17.0909,6,21.27,689.45,0,0,0
2,46,6358.2,19.8293,2,23.75,2897.98,0,0,0
2,47,2191.04,1.9149,4,11.97,2801.55,0,0,0
2,48,13495.02,30.5951,2,9.84,508.71,0,0,0
2,49,6335.18,6.7688,6,10.01,1298.33,0,0,0
2,50,928.89,2.5817,3,19.23,1360.49,0,0,0
