timestep,cloud_id,cloud_cpu_available,cloud_memory_available,cloud_queue_length,cloud_latency_current,is_in_maintenance,is_overloaded,had_cold_start
1,1,17478.21,66.334,7,48.52,0,0,0
1,2,30995.23,232.3675,10,25.3,0,0,0
1,3,25144.3,279.8296,9,87.82,0,0,0
1,4,31836.76,319.0968,6,48.15,0,0,0
1,5,12716.57,135.5377,11,46.36,0,0,0
1,6,63097.01,222.0111,8,46.82,0,0,0
1,7,23599.71,272.1824,9,67.68,0,0,0
1,8,15755.13,243.5734,5,50.32,0,0,0
1,9,29454.01,204.8069,6,107.32,0,0,0
1,10,11060.27,313.3021,13,52.19,0,0,0
2,1,30772.79,112.3497,4,42.03,0,0,0
2,2,46526.06,107.0763,3,32.72,0,0,0
2,3,21665.75,188.3142,7,85.24,0,0,0
2,4,51828.28,219.658,12,41.4,0,0,0
2,5,543.79,247.1806,90,55.8,0,1,0
2,6,38852.15,145.4244,8,48.58,0,0,0
2,7,24766.44,197.2286,10,60.83,0,0,0
2,8,13045.79,138.3549,6,60.08,0,0,0
2,9,47562.29,136.9809,4,92.82,0,0,0
2,10,21588.83,300.9665,7,52.51,0,0,0
3,1,60786.73,143.8611,8,56.58,0,0,0
3,2,34345.49,117.2425,11,26.16,0,0,0
3,3,50447.29,245.4811,11,108.25,0,0,0
3,4,38138.96,318.9057,10,26.6,0,0,0
3,5,9907.39,143.6779,8,42.97,0,0,0
3,6,58556.08,82.3043,10,49.33,0,0,0
3,7,15694.08,154.0537,3,66.56,0,0,0
3,8,13966.4,338.2321,5,74.95,0,0,0
3,9,28087.7,158.9875,8,90.08,0,0,0
3,10,12843.29,325.9501,4,62.37,0,0,0
4,1,33265.44,103.6737,8,42.57,0,0,0
4,2,28866.81,144.0002,3,27.76,0,0,0
4,3,18476.32,233.3201,17,95.34,0,0,0
4,4,24660.26,259.1097,6,38.86,0,0,0
4,5,13236.47,127.8302,7,42.13,0,0,0
4,6,38352.51,234.4328,7,62.44,0,0,0
4,7,11053.4,95.1767,10,50.25,0,0,0
4,8,13525.39,282.1969,9,60.08,0,0,0
4,9,42461.34,206.8633,9,88.16,0,0,0
4,10,21621.15,145.462,8,60.69,0,0,0
5,1,58266.96,97.7295,6,45.66,0,0,0
5,2,39261.75,190.4894,10,41.54,0,0,0
5,3,23566.91,280.8217,8,92.48,0,0,0
5,4,13098.18,337.419,11,47.75,0,0,0
5,5,11330.28,199.8107,8,52.34,0,0,0
5,6,60978.22,167.0183,12,54.59,0,0,0
5,7,12317.24,249.8601,8,63.02,0,0,0
5,8,12263.82,139.758,7,54.85,0,0,0
5,9,28369.1,149.5953,5,105.14,0,0,0
5,10,23186.31,278.0112,11,50.96,0,0,0
6,1,31490.87,143.8048,12,45.65,0,0,0
6,2,13745.8,223.6019,8,25.12,0,0,0
6,3,23240.69,248.8677,5,86.42,0,0,0
6,4,24519.21,237.3707,9,38.89,0,0,0
6,5,12449.18,122.9858,4,49.15,0,0,0
6,6,53870.73,257.4362,9,43.83,0,0,0
6,7,15300.78,263.6652,8,74.1,0,0,0
6,8,6276.25,353.464,6,68.93,0,0,0
6,9,47154.43,149.6521,7,103.45,0,0,0
6,10,21336.02,147.8905,9,54.54,0,0,0
7,1,29950.7,137.8124,4,59.37,0,0,0
7,2,35683.7,103.0152,10,38.03,0,0,0
7,3,51584.1,148.6263,7,100.11,0,0,0
7,4,21959.14,173.014,6,49.13,0,0,0
7,5,12322.39,233.3584,8,52.66,0,0,0
7,6,54964.88,101.612,4,55.07,0,0,0
7,7,28146.16,284.379,10,50.07,0,0,0
7,8,6204.13,151.2025,6,65.91,0,0,0
7,9,35137.04,231.0425,3,89.73,0,0,0
7,10,24663.22,177.2605,9,61.56,0,0,0
8,1,20119.39,65.1258,14,44.74,0,0,0
8,2,46751.73,114.5557,5,27.21,0,0,0
8,3,39885.05,131.3735,8,96.74,0,0,0
8,4,34383.13,296.6945,7,42.49,0,0,0
8,5,17424.54,186.5718,10,49.04,0,0,0
8,6,50015.46,116.853,14,51.18,0,0,0
8,7,15176.24,284.9503,8,52.41,0,0,0
8,8,18141.31,287.3347,10,54.26,0,0,0
8,9,58850.35,162.8822,7,109.28,0,0,0
8,10,23027.95,161.2569,9,59.89,0,0,0
9,1,66737.47,89.0602,10,63.95,0,0,0
9,2,33225.2,158.213,7,28.36,0,0,0
9,3,29987.68,97.2802,10,88.85,0,0,0
9,4,22959.5,369.5411,10,35.16,0,0,0
9,5,5563.34,119.1729,7,58.28,0,0,0
9,6,22203.6,205.231,8,51.45,0,0,0
9,7,38241.28,198.6478,12,56.85,0,0,0
9,8,17905.65,280.2494,8,59.48,0,0,0
9,9,27061.77,226.5699,8,97.52,0,0,0
9,10,13850.09,120.3235,5,71.17,0,0,0
10,1,30061.07,84.5991,8,51.15,0,0,0
10,2,29877.99,197.0256,11,28.77,0,0,0
10,3,58383.59,167.2241,7,93.82,0,0,0
10,4,17148.41,265.8739,12,41.64,0,0,0
10,5,4663.29,258.3015,5,43.35,0,0,0
10,6,33098.04,122.9046,5,57.15,0,0,0
10,7,19646.62,98.9928,9,61.84,0,0,0
10,8,8819.55,142.4252,15,50.99,0,0,0
10,9,59395.2,88.9563,7,109.79,0,0,0
10,10,18191.44,165.1479,4,56.51,0,0,0
11,1,19274.42,129.113,10,43.56,0,0,0
11,2,16126.88,82.7468,7,30.97,0,0,0
11,3,51130.79,163.4783,10,88.02,0,0,0
11,4,26741.08,127.6646,8,26.27,0,0,0
11,5,9510.93,186.1622,11,41.32,0,0,0
11,6,42709.49,180.2446,10,43.2,0,0,0
11,7,18791.97,279.4043,16,55.63,0,0,0
11,8,8487.65,277.3344,6,63.41,0,0,0
11,9,56046.17,117.9437,11,109.76,0,0,0
11,10,18792.55,172.4435,9,57.43,0,0,0
12,1,17275.0,119.8684,9,53.41,0,0,0
12,2,23040.9,136.9026,10,30.94,0,0,0
12,3,57920.71,149.0689,9,102.2,0,0,0
12,4,32557.12,181.3781,7,31.49,0,0,0
12,5,16986.87,135.5195,4,52.33,0,0,0
12,6,30248.94,230.0895,5,63.96,0,0,0
12,7,14491.44,165.5658,8,61.18,0,0,0
12,8,7385.39,179.2826,6,60.37,0,0,0
12,9,57700.92,193.7395,9,108.8,0,0,0
12,10,12816.25,300.67,9,62.25,0,0,0
